max: 11	max2: 9	min: 2	min2: 2
max: 7	max2: 5	min: 2	min2: 2	total_time: 17
max: 3	max2: 2	min: 2	min2: 2	total_time: 30
max: 2	max2: 0	min: 2	min2: 2	total_time: 37
max: 0	max2: 7	min: 2	min2: 2	total_time: 43
max: 0	max2: 7	min: 2	min2: 2	total_time: 49
max: 1	max2: 0	min: 2	min2: 2	total_time: 55
max: 0	max2: 0	min: 2	min2: 2	total_time: 60
max: 4197379	max2: 32766	min: 2	min2: 2	total_time: 64
max: 434901456	max2: 32757	min: 2	min2: 2	total_time: 4197449
max: 628670920	max2: 0	min: 2	min2: 2	total_time: 439098911
max: 0	max2: 0	min: 2	min2: 2	total_time: 1067769835
max: 2	max2: 0	min: 2	min2: 2	total_time: 1067769839
max: 4197632	max2: 0	min: 2	min2: 2	total_time: 1067769845
max: 11	max2: 0	min: 2	min2: 2	total_time: 1071967481
max: 9	max2: 0	min: 2	min2: 2	total_time: 1071967496
max: 2	max2: 0	min: 2	min2: 2	total_time: 1071967509
max: 0	max2: 32757	min: 2	min2: 2	total_time: 1071967515
max: 626517269	max2: 0	min: 2	min2: 2	total_time: 1071967521
max: 4195536	max2: 32766	min: 2	min2: 2	total_time: 1698484794
max: 434901456	max2: 0	min: 2	min2: 2	total_time: 1702680336
max: 0	max2: 32757	min: 2	min2: 2	total_time: 2137581796
max: 622503176	max2: 0	min: 2	min2: 2	total_time: 2137581802
max: 0	max2: 0	min: 2	min2: 2	total_time: -1534882314
max: 0	max2: 0	min: 2	min2: 2	total_time: -1534882310
max: 1	max2: 0	min: 2	min2: 2	total_time: -1534882306
max: 0	max2: 0	min: 2	min2: 2	total_time: -1534882301
max: 2	max2: 0	min: 2	min2: 2	total_time: -1534882297
max: 2	max2: 0	min: 2	min2: 2	total_time: -1534882291
max: 9	max2: 0	min: 2	min2: 2	total_time: -1534882285
max: 11	max2: 0	min: 2	min2: 2	total_time: -1534882272
max: 0	max2: 32766	min: 2	min2: 2	total_time: -1534882257
max: 434893232	max2: 32766	min: 2	min2: 2	total_time: -1534882251
max: 434893424	max2: 48	min: 2	min2: 2	total_time: -1099989013
max: 40	max2: 0	min: 2	min2: 2	total_time: -665095583
max: 6	max2: 32757	min: 2	min2: 2	total_time: -665095539
max: 622818457	max2: 32766	min: 2	min2: 2	total_time: -665095527
max: 434901456	max2: 0	min: 2	min2: 2	total_time: -42277064
max: 0	max2: 0	min: 2	min2: 2	total_time: 392624396
max: 0	max2: 32766	min: 2	min2: 2	total_time: 392624400
max: 434901680	max2: 0	min: 2	min2: 2	total_time: 392624406
max: 4195536	max2: 0	min: 2	min2: 2	total_time: 827526090
max: 0	max2: 32766	min: 2	min2: 2	total_time: 831721630
max: 434893456	max2: 32757	min: 2	min2: 2	total_time: 831721636
max: 628659392	max2: 842104821	min: 2	min2: 2	total_time: 1266615098
max: 622503176	max2: 32766	min: 2	min2: 2	total_time: 1895274496
max: 434893408	max2: 0	min: 2	min2: 2	total_time: -1777189618
max: -1	max2: 0	min: 2	min2: 2	total_time: -1342296206
max: 4195155	max2: 0	min: 2	min2: 2	total_time: -1342296203
max: 359345080	max2: 32766	min: 2	min2: 2	total_time: -1338101044
max: 434893104	max2: 32766	min: 2	min2: 2	total_time: -978755958
max: 434893120	max2: 32757	min: 2	min2: 2	total_time: -543862848
max: 628671776	max2: 0	min: 2	min2: 2	total_time: -108969722
max: 0	max2: 0	min: 2	min2: 2	total_time: 519702058
max: 4195773	max2: 32766	min: 2	min2: 2	total_time: 519702062
max: 434893456	max2: 0	min: 2	min2: 2	total_time: 523897841
max: 48	max2: 0	min: 2	min2: 2	total_time: 958791301
max: 0	max2: 32757	min: 2	min2: 2	total_time: 958791353
max: 628670920	max2: 0	min: 2	min2: 2	total_time: 958791359
max: 1	max2: 0	min: 2	min2: 2	total_time: 1587462283
max: 0	max2: 0	min: 2	min2: 2	total_time: 1587462288
max: 1	max2: 32757	min: 2	min2: 2	total_time: 1587462292
max: 628660752	max2: 0	min: 2	min2: 2	total_time: 1587462299
max: 0	max2: 32757	min: 2	min2: 2	total_time: -2078844241
max: 626469265	max2: 32757	min: 2	min2: 2	total_time: -2078844235
max: 628670920	max2: 32757	min: 2	min2: 2	total_time: -1452374964
max: 628671776	max2: 0	min: 2	min2: 2	total_time: -823704038
max: 1	max2: 32757	min: 2	min2: 2	total_time: -195032258
max: 628660752	max2: 32766	min: 2	min2: 2	total_time: -195032251
max: 434893264	max2: 32766	min: 2	min2: 2	total_time: 433628507
max: 434893304	max2: 32757	min: 2	min2: 2	total_time: 868521777
max: 622541912	max2: 1	min: 2	min2: 2	total_time: 1303415087
max: 596	max2: 1	min: 2	min2: 2	total_time: 1925957004
max: 0	max2: 0	min: 2	min2: 2	total_time: 1925957605
max: 4195048	max2: 32757	min: 2	min2: 2	total_time: 1925957609
max: 622542200	max2: 0	min: 2	min2: 2	total_time: 1930152663
max: 4195155	max2: 32757	min: 2	min2: 2	total_time: -1742272429
max: 628659392	max2: 32757	min: 2	min2: 2	total_time: -1738077268
max: 628660752	max2: 0	min: 2	min2: 2	total_time: -1109417870
max: 0	max2: 0	min: 2	min2: 2	total_time: -480757114
max: 0	max2: 32766	min: 2	min2: 2	total_time: -480757110
max: 434893104	max2: 0	min: 2	min2: 2	total_time: -480757104
max: 5614766	max2: 32757	min: 2	min2: 2	total_time: -45863996
max: 622503176	max2: 32766	min: 2	min2: 2	total_time: -40249224
max: 434893120	max2: 32757	min: 2	min2: 2	total_time: 582253958
max: 622488872	max2: 32766	min: 2	min2: 2	total_time: 1017147084
max: 434892848	max2: 48	min: 2	min2: 2	total_time: 1639635962
max: 1	max2: 32757	min: 2	min2: 2	total_time: 2074528816
max: 626468886	max2: 32757	min: 2	min2: 2	total_time: 2074528823
max: 628660680	max2: 0	min: 2	min2: 2	total_time: -1593969581
max: 3	max2: 0	min: 2	min2: 2	total_time: -965308897
max: 1	max2: 0	min: 2	min2: 2	total_time: -965308890
max: 359345080	max2: 0	min: 2	min2: 2	total_time: -965308885
max: 1	max2: 32757	min: 2	min2: 2	total_time: -605963801
max: 626466460	max2: 32766	min: 2	min2: 2	total_time: -605963794
max: 434893056	max2: 32766	min: 2	min2: 2	total_time: 20502672
max: 434893096	max2: 0	min: 2	min2: 2	total_time: 455395734
max: 0	max2: 1	min: 2	min2: 2	total_time: 890288834
max: 2210	max2: 1	min: 2	min2: 2	total_time: 890288839
max: 0	max2: 32757	min: 2	min2: 2	total_time: 890291054
max: 622541912	max2: 32757	min: 2	min2: 2	total_time: 890291060
max: 622542200	max2: 32757	min: 2	min2: 2	total_time: 1512832978
max: 622547670	max2: 32757	min: 2	min2: 2	total_time: 2135375184
max: 628659392	max2: 32757	min: 2	min2: 2	total_time: -1537044436
max: 628660896	max2: 0	min: 2	min2: 2	total_time: -908385038
max: 0	max2: 0	min: 2	min2: 2	total_time: -279724138
max: 0	max2: 32766	min: 2	min2: 2	total_time: -279724134
max: 434892896	max2: 0	min: 2	min2: 2	total_time: -279724128
max: 32660418	max2: 32757	min: 2	min2: 2	total_time: 155168772
max: 622541912	max2: 32766	min: 2	min2: 2	total_time: 187829196
max: 434892912	max2: 32757	min: 2	min2: 2	total_time: 810371114
max: 622488872	max2: 32766	min: 2	min2: 2	total_time: 1245264032
max: 434892640	max2: 32766	min: 2	min2: 2	total_time: 1867752910
max: 434893208	max2: 32757	min: 2	min2: 2	total_time: -1992321740
max: 626468886	max2: 32757	min: 2	min2: 2	total_time: -1557428526
max: 628660680	max2: 0	min: 2	min2: 2	total_time: -930959634
max: 3	max2: 0	min: 2	min2: 2	total_time: -302298950
max: 1	max2: 0	min: 2	min2: 2	total_time: -302298943
max: 2090266759	max2: 0	min: 2	min2: 2	total_time: -302298938
max: 0	max2: 32757	min: 2	min2: 2	total_time: 1787967825
max: 626466460	max2: 32757	min: 2	min2: 2	total_time: 1787967831
max: 626388288	max2: 32766	min: 2	min2: 2	total_time: -1880532999
max: 434893115	max2: 0	min: 2	min2: 2	total_time: -1254144705
max: 0	max2: 0	min: 2	min2: 2	total_time: -819251586
max: 0	max2: 0	min: 2	min2: 2	total_time: -819251582
max: 0	max2: 0	min: 2	min2: 2	total_time: -819251578
max: 0	max2: 0	min: 2	min2: 2	total_time: -819251574
max: 0	max2: 0	min: 2	min2: 2	total_time: -819251570
max: 0	max2: 0	min: 2	min2: 2	total_time: -819251566
max: 0	max2: 32757	min: 2	min2: 2	total_time: -819251562
max: 622820387	max2: 0	min: 2	min2: 2	total_time: -819251556
max: 100	max2: 32757	min: 2	min2: 2	total_time: -196431165
max: 622978606	max2: 32766	min: 2	min2: 2	total_time: -196431059
max: 434893184	max2: 32757	min: 2	min2: 2	total_time: 426547553
max: 626402880	max2: 0	min: 2	min2: 2	total_time: 861440743
max: 0	max2: 32757	min: 2	min2: 2	total_time: 1487843627
max: 622974624	max2: 32757	min: 2	min2: 2	total_time: 1487843633
max: 626402880	max2: 32766	min: 2	min2: 2	total_time: 2110818263
max: 434893184	max2: 32757	min: 2	min2: 2	total_time: -1557746147
max: 626402880	max2: 32757	min: 2	min2: 2	total_time: -1122852957
max: 622978469	max2: 0	min: 2	min2: 2	total_time: -496450071
max: 0	max2: 32766	min: 2	min2: 2	total_time: 126528402
max: 434893184	max2: 32757	min: 2	min2: 2	total_time: 126528408
max: 626402880	max2: 0	min: 2	min2: 2	total_time: 561421598
max: 0	max2: 0	min: 2	min2: 2	total_time: 1187824482
max: 0	max2: 0	min: 2	min2: 2	total_time: 1187824486
max: 0	max2: 0	min: 2	min2: 2	total_time: 1187824490
max: 693634746	max2: 0	min: 2	min2: 2	total_time: 1187824494
max: 1430833171	max2: 0	min: 2	min2: 2	total_time: 1881459244
max: 693634746	max2: 0	min: 2	min2: 2	total_time: -982674877
max: 1430833171	max2: 0	min: 2	min2: 2	total_time: -289040127
max: 345634698	max2: 0	min: 2	min2: 2	total_time: 1141793048
max: 1430833173	max2: 0	min: 2	min2: 2	total_time: 1487427750
max: 8	max2: 0	min: 2	min2: 2	total_time: -1376706369
max: 4096	max2: 0	min: 2	min2: 2	total_time: -1376706357
max: 19	max2: 0	min: 2	min2: 2	total_time: -1376702257
max: 0	max2: 0	min: 2	min2: 2	total_time: -1376702234
max: 1000	max2: 1000	min: 2	min2: 2	total_time: -1376702230
max: 33204	max2: 0	min: 2	min2: 2	total_time: -1376701224
max: 1	max2: 0	min: 2	min2: 2	total_time: -1376668016
max: 3548196	max2: 0	min: 2	min2: 2	total_time: -1376668011
max: 2053	max2: 32757	min: 2	min2: 2	total_time: -1373119811
max: 622921990	max2: 0	min: 2	min2: 2	total_time: -1373117752
max: 53	max2: 32757	min: 2	min2: 2	total_time: -750195758
max: 622822286	max2: 32757	min: 2	min2: 2	total_time: -750195699
max: 626402880	max2: 0	min: 2	min2: 2	total_time: -127373407
max: -1	max2: 0	min: 2	min2: 2	total_time: 499029477
max: 256	max2: 0	min: 2	min2: 2	total_time: 499029480
max: 2	max2: 32766	min: 2	min2: 2	total_time: 499029740
max: 434893184	max2: 0	min: 2	min2: 2	total_time: 499029748
max: 64	max2: 32757	min: 2	min2: 2	total_time: 933922936
max: 626402880	max2: 32757	min: 2	min2: 2	total_time: 933923006
max: 626402304	max2: 32757	min: 2	min2: 2	total_time: 1560325892
max: 622857600	max2: 0	min: 2	min2: 2	total_time: -2108239094
max: 5	max2: 32766	min: 2	min2: 2	total_time: -1485381490
max: 434893232	max2: 32766	min: 2	min2: 2	total_time: -1485381479
max: 434893424	max2: 48	min: 2	min2: 2	total_time: -1050488241
max: 8	max2: 0	min: 2	min2: 2	total_time: -615594811
max: 0	max2: 0	min: 2	min2: 2	total_time: -615594799
max: 0	max2: 0	min: 2	min2: 2	total_time: -615594795
max: 0	max2: 0	min: 2	min2: 2	total_time: -615594791
max: 0	max2: 0	min: 2	min2: 2	total_time: -615594787
max: 0	max2: 0	min: 2	min2: 2	total_time: -615594783
max: 0	max2: 0	min: 2	min2: 2	total_time: -615594779
