Teste 1
1 6677 p
2 6212 q
3 5979 x
4 5753 f
5 5749 i
6 5442 q
7 5396 b
8 5245 o
9 5154 r
10 4895 n
11 4789 i
12 4671 j
13 4358 w
14 4331 y
15 4305 t
16 4303 z
17 4198 l
18 4101 c
19 3625 v
20 3199 v

Teste 2
1 6533 e
2 4650 w
3 4430 o
4 4418 e
5 4295 k
6 4178 a
7 3942 y
8 3682 j
9 3628 u
10 3223 j

Teste 3
1 7208 o
2 6681 o
3 6203 s
4 6131 h
5 5821 o
6 5808 o
7 5558 c
8 5519 p
9 5338 r
10 5305 m
11 5124 c
12 5078 e
13 4949 s
14 4910 x
15 4827 z
16 4810 g
17 4729 x
18 4465 o
19 4362 d
20 4223 q
21 3546 q
22 3339 e

Teste 4
1 6910 h
2 6747 v
3 6532 p
4 6420 h
5 6212 h
6 5960 h
7 5814 z
8 5784 h
9 5772 s
10 5765 t
11 5732 n
12 5715 r
13 5664 l
14 5607 s
15 5558 d
15 5558 y
17 5551 b
18 5291 f
19 5245 q
20 5175 q
21 5156 z
22 5117 x
23 4952 n
24 4926 l
25 4833 e
26 4827 r
27 4811 j
28 4724 a
29 4718 b
29 4718 w
31 4701 h
32 4641 q
33 4633 d
34 4579 v
35 4559 l
36 4459 c
37 4452 d
38 4415 a
39 4361 z
40 4341 b
41 4325 s
42 4289 l
43 4286 b
44 4264 h
45 4128 c
46 4100 t
47 3893 q
48 3890 d
49 3817 i
50 3788 j
51 3473 n
52 3397 x
53 3313 j

Teste 5
1 7613 y
2 6723 o
3 6676 p
4 6653 z
5 6487 h
6 6326 i
7 6106 i
8 6072 k
9 6036 m
10 5998 m
11 5947 r
12 5946 x
13 5928 p
14 5890 y
15 5871 g
16 5869 n
17 5845 z
18 5764 q
19 5645 b
20 5584 m
21 5545 k
22 5461 g
23 5444 w
24 5431 p
25 5416 k
26 5413 c
27 5361 a
28 5340 u
29 5113 c
30 5068 o
31 5063 s
32 5060 u
33 5057 n
34 5017 p
35 4975 v
36 4810 g
37 4772 v
38 4735 g
39 4708 a
40 4671 e
41 4549 a
42 4546 c
43 4389 g
44 4355 g
45 4249 o
46 4219 r
47 4205 j
48 4036 e
49 4030 d
50 4028 i
51 3997 c
52 3902 q
53 3861 l
54 3854 a
55 3824 y
56 3816 v
57 3802 a
58 3674 f
59 3248 c
60 3232 v
61 3055 a
62 2418 t

Teste 6
1 6706 a
2 6655 l
3 6647 h
4 6539 o
5 6475 v
6 6236 o
7 6059 y
8 5869 q
9 5851 w
10 5843 p
11 5804 n
12 5776 m
13 5741 w
14 5717 k
15 5698 i
16 5688 o
17 5687 f
18 5649 b
19 5600 i
20 5595 q
21 5507 f
22 5467 s
23 5465 y
24 5425 b
25 5386 j
26 5380 p
27 5362 o
28 5359 y
29 5333 u
30 5315 w
31 5301 p
32 5133 z
33 5038 x
34 5006 h
35 4973 f
36 4846 u
37 4803 b
38 4722 c
39 4659 t
40 4656 w
41 4640 a
42 4594 o
43 4592 h
44 4579 e
45 4563 n
46 4501 v
47 4493 t
48 4482 r
49 4463 o
50 4430 b
51 4399 j
52 4377 n
53 4133 h
54 4122 x
55 4120 h
56 4039 c
57 4030 h
58 3928 t
59 3918 z
60 3645 g
61 3436 e
62 3427 g
63 3277 x
64 3128 p
65 2864 z

Teste 7
1 6306 d
2 6270 y
3 6241 g
4 6236 q
5 6011 g
6 5892 r
7 5791 i
8 5779 a
9 5683 c
10 5552 l
11 5479 y
12 5229 u
13 5172 t
14 5142 k
15 4925 x
16 4880 d
17 4857 a
18 4804 l
19 4786 r
20 4766 f
21 4725 v
22 4600 c
23 4596 a
24 4563 b
25 4515 e
26 4496 o
27 4417 j
28 4394 d
29 4373 a
30 4266 m
31 4106 a
32 4081 q
33 3981 h
34 3924 n
35 3871 y
36 3632 q
37 3261 x
38 3128 o
