Teste 1
1 6802 u

2 6343 p

3 6303 m

4 6110 x

5 5670 f

6 5655 x

7 5496 n

8 5475 t

9 5431 o

10 5353 b

11 5260 n

12 5201 r

13 5133 k

14 5127 l

15 5124 g

16 5020 x

17 5004 j

18 4999 p

19 4991 w

20 4958 j

21 4943 s

22 4851 u

23 4844 w

24 4817 x

25 4786 u

26 4773 y

27 4757 y

28 4710 f

29 4692 o

30 4607 i

31 4377 y

32 4251 k

33 4129 l

34 3982 j

35 3937 g

36 3788 d

37 3774 c

37 3774 j

39 3754 h

40 3752 j

41 3583 q

42 3563 c

43 3497 p

44 3476 h

45 3453 a

46 3312 w

47 3240 l

48 3235 d

49 3021 m

50 2689 q


Teste 2
1 6526 x

2 5830 g

3 5821 o

4 5531 n

5 5397 z

6 4962 u

7 4882 l

8 3852 v

9 3642 v

10 3617 d

10 3617 n


Teste 3
1 6670 d

2 5754 x

3 5725 n

4 5557 y

5 5554 i

6 5125 u

7 4908 s

8 4732 l

9 3921 q

10 3301 e


Teste 4
1 6436 g

2 5995 g

3 5910 b

4 5895 u

5 5762 v

6 5636 v

7 5379 p

8 5109 y

9 4999 f

10 4984 h

11 4878 y

12 4844 m

13 4563 y

14 4497 b

15 4444 n

16 4403 c

17 4314 h

18 4297 x

19 3897 v

20 3744 y

21 3474 h

22 3426 m

23 2955 o


Teste 5
1 5954 c

2 5919 a

3 5611 c

4 5562 n

5 5517 d

6 5066 q

7 4882 l

8 4701 x

9 4618 x

10 4436 k

10 4436 v

12 4364 n

13 4260 e

14 4171 x

15 4069 a

16 4011 t

17 3509 k

18 3465 w

19 3417 e

20 3326 j


Teste 6
1 6788 z

2 6658 c

3 6538 e

4 5968 t

5 5908 r

6 5883 c

7 5876 z

8 5702 o

9 5690 f

10 5660 u

11 5630 u

12 5619 z

13 5599 s

14 5552 z

15 5482 c

16 5474 v

17 5427 v

18 5418 w

19 5415 f

20 5404 d

21 5402 a

22 5346 h

23 5339 e

24 5159 l

25 5144 p

26 5119 c

27 5101 d

28 5066 h

29 5044 h

30 5043 j

31 4984 h

32 4918 g

33 4901 i

34 4894 u

35 4893 j

36 4771 w

37 4688 d

38 4674 u

39 4671 c

40 4664 u

41 4651 x

42 4645 j

43 4644 u

44 4346 p

45 4333 j

46 4303 l

47 4298 u

48 4270 m

49 4232 x

50 4216 b

51 4201 p

52 4154 x

53 4092 i

54 4086 e

55 4016 i

56 4009 x

57 3963 c

58 3905 t

59 3891 v

60 3889 m

61 3809 d

62 3771 g

63 3703 g

64 3637 o

65 3420 i

66 3265 y

67 3131 p

68 2927 f

69 2327 o


Teste 7
1 7548 r

2 6887 o

3 6868 v

4 6347 d

5 6311 q

6 6106 e

7 6035 t

8 5967 q

9 5893 f

10 5815 e

11 5728 w

12 5654 w

13 5628 j

14 5626 s

15 5351 h

16 5296 o

17 5270 t

18 5245 g

19 5237 p

20 5163 t

21 5155 o

22 5086 i

23 5035 c

24 5021 e

25 5018 f

26 4989 u

27 4872 m

28 4864 b

29 4861 m

30 4809 i

31 4808 w

32 4661 r

33 4632 w

34 4555 d

34 4555 j

36 4509 c

37 4455 s

38 4421 c

39 4381 i

40 4352 z

41 4298 a

42 4251 m

43 4236 x

44 4202 j

45 4194 z

46 4155 z

47 4022 x

48 3992 q

49 3905 n

50 3863 w

51 3850 f

52 3848 x

53 3756 p

54 3674 y

55 3579 i

56 3567 a

57 3497 i

58 3430 z

59 3359 a

60 3241 p

61 3212 y

62 3169 j

63 3158 e

64 3157 b

65 3112 x

66 2911 r

67 2828 d

68 2495 l

69 2319 v


Teste 8
1 6463 i

2 6395 k

3 6347 r

4 6343 d

5 6266 x

6 6239 v

7 6126 m

8 5803 e

9 5614 l

10 5573 d

11 5566 p

12 5492 y

13 5446 l

14 5428 i

15 5379 b

16 5359 q
