Teste 1
1 6677 p
2 6212 q
3 5979 x
4 5245 o
5 5154 r
6 4671 j
7 4303 z
8 4198 l
9 3625 v
10 3199 v
11 0 j
11 0 l
11 0 o
11 0 p
11 0 q
11 0 r
11 0 v
11 0 v
11 0 x
11 0 z

Teste 2
1 6212 f
2 5753 f
3 5749 i
4 5442 q
5 5396 b
6 5245 c
7 4895 n
8 4789 i
9 4671 i
10 4358 w
11 4331 y
12 4305 t
13 4198 y
14 4101 c
15 3199 i
16 0 b
16 0 n
16 0 q
16 0 t
16 0 w

Teste 3
1 6533 e
2 4305 a
3 4295 k
4 4178 a
5 4101 j
6 3682 j
7 3223 j
8 0 e
8 0 j
8 0 k

Teste 4
1 4650 w
2 4430 o
3 4418 e
4 4305 u
5 4178 e
6 3942 y
7 3682 w
8 3628 u
9 0 o
9 0 y

Teste 5
1 7208 o
2 6681 o
3 6203 s
4 5821 o
5 5808 o
6 5753 o
7 5558 c
8 5442 o
9 5305 m
10 5245 m
11 5124 c
12 4810 g
13 4789 o
14 4465 o
15 4430 o
16 4362 d
17 4358 c
18 4305 c
19 3942 o
20 3628 d
21 0 g
21 0 s

Teste 6
1 6681 e
2 6131 h
3 5821 q
4 5753 s
5 5519 p
6 5442 p
7 5338 r
8 5245 x
9 5078 e
10 4949 s
11 4910 x
12 4827 z
13 4810 e
14 4729 x
15 4465 x
16 4362 z
17 4305 q
18 4223 q
19 3628 h
20 3546 q
21 3339 e
22 0 r

Teste 7
1 6910 h
2 6747 v
3 6131 q
4 5784 h
5 5753 q
6 5664 l
7 5607 s
8 5558 d
8 5558 y
10 5551 b
11 5442 d
12 5245 d
13 5175 q
14 5156 z
15 4949 z
16 4827 a
16 4827 r
18 4729 w
19 4724 a
20 4718 b
20 4718 w
22 4701 h
23 4641 q
24 4459 c
25 4452 d
26 4415 a
27 4362 h
28 4341 b
29 4325 s
30 4289 l
31 4223 l
32 3893 q
33 3890 d
34 3817 i
35 3546 r
36 3473 n
37 0 a
37 0 b
37 0 b
37 0 b
37 0 c
37 0 d
37 0 h
37 0 h
37 0 i
37 0 l
37 0 n
37 0 n
37 0 q
37 0 s
37 0 s
37 0 v
37 0 y

Teste 8
1 6747 t
2 6532 p
3 6420 h
4 6212 h
5 5960 h
6 5814 z
7 5784 x
8 5772 s
9 5765 t
10 5732 n
11 5715 r
12 5664 v
13 5558 t
14 5551 h
15 5291 f
16 5245 l
16 5245 q
18 5156 x
19 5117 x
20 4952 n
21 4926 l
22 4833 e
23 4827 j
24 4811 j
25 4729 h
26 4718 f
27 4701 s
28 4633 d
29 4579 v
30 4559 l
31 4459 r
32 4415 b
33 4361 z
34 4341 z
35 4289 d
36 4286 b
37 4264 h
38 4128 c
39 4100 t
40 3893 p
41 3817 q
42 3788 j
43 3473 j
44 3397 x
45 3313 j
46 0 c
46 0 e
46 0 h
46 0 h
46 0 j
46 0 l
46 0 n
46 0 z

Teste 9
1 7613 y
2 6747 h
3 6676 p
4 6653 z
5 6487 h
6 6420 y
7 6072 k
8 5998 m
9 5960 g
10 5946 x
11 5928 p
12 5890 y
13 5784 k
14 5765 u
15 5715 a
16 5558 c
17 5461 g
18 5416 k
19 5413 c
20 5340 u
21 5291 c
22 5245 c
23 5117 v
24 5068 o
25 5063 s
26 5060 u
27 5057 n
28 4975 v
29 4926 y
30 4827 n
31 4735 g
32 4729 o
33 4701 s
34 4579 y
35 4546 c
36 4459 u
37 4389 g
38 4361 m
39 4355 g
40 4289 g
41 4264 x
42 4249 o
43 4219 r
44 4205 j
45 4100 p
46 4036 e
47 3854 a
48 3824 y
49 3817 g
50 3674 f
51 3473 k
52 3313 g
53 3248 c
54 3055 a
55 0 a
55 0 e
55 0 f
55 0 j
55 0 o
55 0 p
55 0 r
55 0 z

Teste 10
1 6747 a
2 6723 o
3 6653 l
